,user,text,favorite_count,retweet_count,created_at
0,elonmusk,How many real people are still on the Internet? https://t.co/RmIjooIwxt,4133,526,2025-05-27 06:02:12+00:00
1,elonmusk,RT @spacesudoer: Starship Flight 9 Infographic. https://t.co/sUYGwdSUkt,0,273,2025-05-27 05:57:54+00:00
2,elonmusk,Kardashev 1 or you’re not even trying,5321,542,2025-05-27 05:57:28+00:00
3,elonmusk,RT @grok: @LifeInAlaska_ @BasedBeffJezos Pixel,0,99,2025-05-27 05:53:44+00:00
4,elonmusk,"RT @spacesudoer: Starship Flight 9 Mission Profile.

Launch T - 17 hours. https://t.co/xSSuxttGvX",0,419,2025-05-27 05:20:30+00:00
5,elonmusk,@APompliano @pmarca @Jayyanginspires True,399,39,2025-05-27 05:01:45+00:00
6,elonmusk,"Starship Pez Dispenser 
 https://t.co/7yl0h1CXkn",16441,1598,2025-05-27 05:01:25+00:00
7,elonmusk,@BLKMDL3 @MayorOfLA Yup,326,27,2025-05-27 05:00:39+00:00
8,elonmusk,"@cb_doge Major reduction in fraud. 

The fake is-alive SSN flag was being used to steal money from every government program.",1141,197,2025-05-27 04:59:40+00:00
9,elonmusk,@dvorahfr 💯,326,28,2025-05-27 04:56:39+00:00
